,titles,authors,regular_prices,release_dates
0,The Last Thing He Told Me,Laura Dave,$18.49 ,5/4/2021
1,He Who Fights with Monsters 9,"Shirtaloon, Travis Deverell",$59.99 ,4/18/2023
2,Outlive,"Peter Attia MD, Bill Gifford - contributor",$35.00 ,3/28/2023
3,Lessons in Chemistry,Bonnie Garmus,$17.92 ,4/5/2022
4,Greenlights,Matthew McConaughey,$18.49 ,10/20/2020
5,Atomic Habits,James Clear,$16.72 ,10/16/2018
6,Simply Lies,David Baldacci,$31.93 ,4/18/2023
7,The Weight of Blood,Tiffany D. Jackson,$25.90 ,9/6/2022
8,Spare,Prince Harry The Duke of Sussex,$24.95 ,1/10/2023
9,Now Is Not the Time to Panic,Kevin Wilson,$19.16 ,11/8/2022
10,Remarkably Bright Creatures,Shelby Van Pelt,$21.42 ,5/3/2022
11,The Wager,David Grann,$31.50 ,4/18/2023
12,The Subtle Art of Not Giving a F*ck,Mark Manson,$17.92 ,9/13/2016
13,Hello Beautiful,Ann Napolitano,$31.50 ,3/14/2023
14,You Can't Joke About That,Kat Timpf,$31.93 ,4/18/2023
15,Can't Hurt Me,David Goggins,$21.70 ,11/28/2018
16,Demon Copperhead,Barbara Kingsolver,$34.90 ,10/18/2022
17,It Ends with Us,Colleen Hoover,$13.49 ,8/2/2016
18,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,$16.72 ,6/13/2017
19,I Will Teach You to Be Rich,Ramit Sethi,$30.40 ,5/14/2019
20,I Will Teach You to Be Rich,Ramit Sethi,$30.40 ,5/14/2019
21,Verity,Colleen Hoover,$17.35 ,5/7/2019
22,Never Finished,David Goggins,$21.70 ,12/6/2022
23,The Light We Carry,Michelle Obama,$35.00 ,11/15/2022
24,"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,$29.99 ,11/20/2015
25,The Housemaid,Freida McFadden,$17.35 ,4/26/2022
26,It Starts with Us,Colleen Hoover,$23.62 ,10/18/2022
27,A Court of Thorns and Roses,Sarah J. Maas,$27.39 ,5/5/2015
28,I Will Find You,Harlan Coben,$30.09 ,3/14/2023
29,Daisy Jones & The Six,Taylor Jenkins Reid,$15.74 ,3/5/2019
30,Mad Honey,"Jodi Picoult, Jennifer Finney Boylan",$23.90 ,10/4/2022
31,The Body Keeps the Score,Bessel A. van der Kolk,$20.42 ,2/16/2021
32,12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",$23.90 ,1/23/2018
33,Fairy Tale,Stephen King,$26.90 ,9/6/2022
34,How to Win Friends & Influence People,Dale Carnegie,$16.72 ,9/16/2004
35,"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,$29.99 ,11/20/2015
36,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,$17.92 ,7/5/2022
37,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,$29.99 ,11/20/2015
38,A Court of Mist and Fury,Sarah J. Maas,$36.53 ,5/3/2016
39,Wrong Place Wrong Time,Gillian McAllister,$25.90 ,8/2/2022
40,The Psychology of Money,Morgan Housel,$17.35 ,9/8/2020
41,"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,$44.99 ,11/20/2015
42,"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,$44.99 ,11/20/2015
43,Haunting Adeline,H. D. Carlton,$21.70 ,8/29/2022
44,Project Hail Mary,Andy Weir,$26.05 ,5/4/2021
45,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,$44.99 ,11/20/2015
46,The Four Agreements,don Miguel Ruiz,$10.93 ,1/27/2005
47,The Creative Act,Rick Rubin,$31.50 ,1/17/2023
48,Someone Else's Shoes,Jojo Moyes,$35.00 ,2/7/2023
49,Never Split the Difference,Chris Voss,$23.90 ,5/17/2016
50,Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,$35.00 ,4/4/2023
51,The Mountain Is You,Brianna Wiest,$17.35 ,4/1/2022
52,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,$44.99 ,11/20/2015
53,Things We Never Got Over,Lucy Score,$21.70 ,3/1/2022
54,He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon, Travis Deverell",$52.19 ,3/9/2021
55,A Court of Wings and Ruin,Sarah J. Maas,$27.39 ,5/2/2017
56,Unfu*k Yourself,Gary John Bishop,$14.49 ,8/1/2017
57,The Power of Vulnerability,Brené Brown,$29.82 ,5/24/2013
58,Extreme Ownership,"Jocko Willink, Leif Babin",$15.22 ,10/19/2015
59,Think and Grow Rich,Napoleon Hill,$24.95 ,10/16/2007
60,Finding Me,Viola Davis,$21.42 ,4/26/2022
61,Yours Truly,Abby Jimenez,$31.93 ,4/11/2023
62,Killers of the Flower Moon,David Grann,$16.72 ,4/18/2017
63,The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,$47.90 ,12/27/2019
64,A Court of Silver Flames,Sarah J. Maas,$36.53 ,2/16/2021
65,Local Woman Missing,Mary Kubica,$15.44 ,5/18/2021
66,The Housemaid's Secret,Freida McFadden,$17.35 ,2/20/2023
67,Homecoming,Kate Morton,$19.09 ,4/4/2023
68,All the Light We Cannot See,Anthony Doerr,$16.72 ,5/6/2014
69,The Silent Patient,Alex Michaelides,$20.90 ,2/5/2019
70,Dark Angel,John Sandford,$31.50 ,4/11/2023
71,8 Rules of Love,Jay Shetty,$23.62 ,1/31/2023
72,The 7 Habits of Highly Effective People,Stephen R. Covey,$16.95 ,12/28/2003
73,Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,$11.30 ,5/14/2019
74,Small Game,Blair Braverman,$20.90 ,11/1/2022
75,The Power of One More,Ed Mylett,$17.49 ,7/5/2022
76,The Way of Kings,Brandon Sanderson,$26.99 ,8/31/2010
77,The Untethered Soul,Michael A. Singer,$24.49 ,12/12/2011
78,Where the Crawdads Sing,Delia Owens,$17.92 ,8/14/2018
79,The Boys from Biloxi,John Grisham,$35.00 ,10/18/2022
80,The Serpent and the Wings of Night,Carissa Broadbent,$44.99 ,4/11/2023
81,Paris,Paris Hilton,$31.93 ,3/14/2023
82,The Nightingale,Kristin Hannah,$25.90 ,2/3/2015
83,Ugly Love,Colleen Hoover,$13.99 ,8/5/2014
84,Horse,Geraldine Brooks,$20.90 ,6/14/2022
85,How to Talk to Anyone,Leil Lowndes,$14.74 ,9/1/2015
86,He Who Fights with Monsters 10,"Shirtaloon, Travis Deverell",$59.99 ,11/28/2023
87,All My Knotted-Up Life,Beth Moore,$15.19 ,2/21/2023
88,Things We Hide from the Light,Lucy Score,$21.70 ,2/21/2023
89,A Court of Frost and Starlight,Sarah J. Maas,$18.26 ,5/1/2018
