,title,hq,link
0,ABC Stores,Honolulu Hawaii,//en.m.wikipedia.org/wiki/ABC_Stores
1,Code Rebel,Kahului  Hawaii,//en.m.wikipedia.org/wiki/Code_Rebel
2,Blue Planet Software,Kahului  Hawaii,//en.m.wikipedia.org/wiki/Blue_Planet_Software
3,Aqua-Aston Hospitality,Honolulu  Hawaii United States,//en.m.wikipedia.org/wiki/Aqua-Aston_Hospitality
4,Central Pacific Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Central_Pacific_Bank
5,Alexander & Baldwin,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Alexander_%26_Baldwin
6,Bank of Hawaii,Honolulu  Hawaii  U.S.,//en.m.wikipedia.org/wiki/Bank_of_Hawaii
7,American Savings Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/American_Savings_Bank
8,First Hawaiian Bank,First Hawaiian Center Honolulu  Hawaii,//en.m.wikipedia.org/wiki/First_Hawaiian_Bank
9,Hawaiian Telcom,Honolulu  Hawaii U.S.,//en.m.wikipedia.org/wiki/Hawaiian_Telcom
10,Island Pacific Energy,Honolulu Hawaii U.S.,//en.m.wikipedia.org/wiki/Island_Pacific_Energy
11,Hawaiian Electric Industries,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Hawaiian_Electric_Industries
12,Hawaii National Bank,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Hawaii_National_Bank
13,Kamakura Corporation,Honolulu United States,//en.m.wikipedia.org/wiki/Kamakura_Corporation
14,Aloha Petroleum,Honolulu United States,//en.m.wikipedia.org/wiki/Aloha_Petroleum
15,Maui Land & Pineapple Company,Kapalua  Hawaii,//en.m.wikipedia.org/wiki/Maui_Land_%26_Pineapple_Company
16,"Matson, Inc.",Honolulu Hawaii U.S.,"//en.m.wikipedia.org/wiki/Matson,_Inc."
17,Foodland Hawaii,Honolulu,//en.m.wikipedia.org/wiki/Foodland_Hawaii
18,Kauaʻi Island Utility Cooperative,Līhuʻe Kauaʻi Hawaiʻi,//en.m.wikipedia.org/wiki/Kaua%CA%BBi_Island_Utility_Cooperative
19,Mountain Apple Company,Honolulu Hawaii United States,//en.m.wikipedia.org/wiki/Mountain_Apple_Company
20,Pacific LightNet,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Pacific_LightNet
21,Outrigger Hotels & Resorts,Hawaii,//en.m.wikipedia.org/wiki/Outrigger_Hotels_%26_Resorts
22,Mauna Loa Macadamia Nut Corporation,Hawaii,//en.m.wikipedia.org/wiki/Mauna_Loa_Macadamia_Nut_Corporation
23,Phase2 International,Honolulu  HI,//en.m.wikipedia.org/wiki/Phase2_International
24,Sullivan Family of Companies,Honolulu  HI,//en.m.wikipedia.org/wiki/Sullivan_Family_of_Companies
25,Accuride Corporation,Livonia  Michigan,//en.m.wikipedia.org/wiki/Accuride_Corporation
26,Times Supermarkets,Honolulu Hawaii,//en.m.wikipedia.org/wiki/Times_Supermarkets
27,Shirokiya,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Shirokiya
28,1st Source,South Bend  Indiana,//en.m.wikipedia.org/wiki/1st_Source
29,Tori Richard,Honolulu  Hawaii,//en.m.wikipedia.org/wiki/Tori_Richard
30,Visionary Related Entertainment,Honolulu  Hawaii U.S.,//en.m.wikipedia.org/wiki/Visionary_Related_Entertainment
31,AES Indiana,Indianapolis Indiana,//en.m.wikipedia.org/wiki/AES_Indiana
32,Angi,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Angi
33,Allison Transmission,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Allison_Transmission
34,Arni's Restaurant,Lafayette  Indiana,//en.m.wikipedia.org/wiki/Arni%27s_Restaurant
35,Applied Instruments,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Applied_Instruments
36,Elevance Health,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Elevance_Health
37,Atlas World Group,Evansville  Indiana,//en.m.wikipedia.org/wiki/Atlas_World_Group
38,AM General,South Bend  Indiana U.S.,//en.m.wikipedia.org/wiki/AM_General
39,Matthews Aurora Funeral Solutions,Aurora  Indiana,//en.m.wikipedia.org/wiki/Matthews_Aurora_Funeral_Solutions
40,Batesville Casket Company,Batesville  Indiana,//en.m.wikipedia.org/wiki/Batesville_Casket_Company
41,BrightPoint,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/BrightPoint
42,Calumet Specialty Products Partners,Indianapolis  Indiana,/w/index.php?title=Calumet_Specialty_Products_Partners&action=edit
43,Buehler Foods,Jasper  Indiana U.S.,//en.m.wikipedia.org/wiki/Buehler_Foods
44,Better World Books,Mishawaka,//en.m.wikipedia.org/wiki/Better_World_Books
45,Biomet,Warsaw IN,//en.m.wikipedia.org/wiki/Biomet
46,Berry Global,Evansville  Indiana,//en.m.wikipedia.org/wiki/Berry_Global
47,Chicago South Shore and South Bend Railroad,Michigan City  Indiana,//en.m.wikipedia.org/wiki/Chicago_South_Shore_and_South_Bend_Railroad
48,CNO Financial Group,Carmel  Indiana,//en.m.wikipedia.org/wiki/CNO_Financial_Group
49,Celadon Group,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Celadon_Group
50,DirectBuy,Merrillville  Indiana,//en.m.wikipedia.org/wiki/DirectBuy
51,DePuy Synthes,Raynham  MA,//en.m.wikipedia.org/wiki/DePuy_Synthes
52,Cummins,Cummins Corporate Office Building Columbus  Indiana U.S.,//en.m.wikipedia.org/wiki/Cummins
53,Copient Technologies,Cummins Corporate Office Building Columbus  Indiana U.S.,//en.m.wikipedia.org/wiki/Copient_Technologies
54,Century Pharmaceuticals,Vadodara Gujarat,//en.m.wikipedia.org/wiki/Century_Pharmaceuticals
55,Do It Best,Fort Wayne  Indiana,//en.m.wikipedia.org/wiki/Do_It_Best
56,Emmis Communications,Indianapolis  Indiana Clermont Orlando Daytona Beach  FL Hearst Television Los Angeles  CA The Meruelo Group,//en.m.wikipedia.org/wiki/Emmis_Communications
57,Elwood Staffing,Columbus  Indiana,//en.m.wikipedia.org/wiki/Elwood_Staffing
58,First Merchants Corporation,Muncie  Indiana,//en.m.wikipedia.org/wiki/First_Merchants_Corporation
59,First Internet Bancorp,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/First_Internet_Bancorp
60,"Finish Line, Inc.",Indianapolis Indiana U.S.,"//en.m.wikipedia.org/wiki/Finish_Line,_Inc."
61,Salesforce Marketing Cloud,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Salesforce_Marketing_Cloud
62,Eli Lilly and Company,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Eli_Lilly_and_Company
63,Golden Rule Insurance Company,Indianapolis,//en.m.wikipedia.org/wiki/Golden_Rule_Insurance_Company
64,H. H. Gregg,Franklin Township New Jersey,//en.m.wikipedia.org/wiki/H._H._Gregg
65,Gurney's Seed and Nursery Company,Greendale Indiana,//en.m.wikipedia.org/wiki/Gurney%27s_Seed_and_Nursery_Company
66,Herff Jones,Indianapolis Indiana,//en.m.wikipedia.org/wiki/Herff_Jones
67,Harlan (company),Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Harlan_(company)
68,Guidant,Indianapolis  Indiana,//en.m.wikipedia.org/wiki/Guidant
69,Haynes International,Kokomo  Indiana,//en.m.wikipedia.org/wiki/Haynes_International
70,The Ford Meter Box Company,Wabash  IN,//en.m.wikipedia.org/wiki/The_Ford_Meter_Box_Company
71,Hill-Rom,Chicago  Illinois,//en.m.wikipedia.org/wiki/Hill-Rom
72,ITT Technical Institute,Chicago  Illinois,//en.m.wikipedia.org/wiki/ITT_Technical_Institute
73,JayC Food Stores,Petersburg  Indiana,//en.m.wikipedia.org/wiki/JayC_Food_Stores
